influencer_id,basis,rate,orders,total_payout
1,order,50,2834,141700
2,order,50,165,8250
3,post,1000,2539,1000
4,post,1000,100,1000
5,post,1000,550,1000
6,post,1000,2338,1000
7,order,50,1027,51350
8,order,50,121,6050
9,post,1000,3405,1000
10,post,1000,1149,1000
11,post,1000,2657,1000
12,post,1000,2901,1000
13,post,1000,1906,1000
14,order,50,2935,146750
15,order,50,279,13950
16,order,50,2297,114850
17,order,50,3530,176500
18,order,50,4080,204000
19,order,50,1083,54150
20,order,50,881,44050
21,post,1000,2489,1000
22,post,1000,2377,1000
23,order,50,2704,135200
24,post,1000,1242,1000
25,post,1000,4573,1000
26,post,1000,18,1000
27,order,50,3006,150300
28,post,1000,2199,1000
29,order,50,3108,155400
30,post,1000,178,1000
31,post,1000,1177,1000
32,order,50,2988,149400
33,order,50,4786,239300
34,post,1000,4390,1000
35,order,50,2644,132200
36,post,1000,2188,1000
37,order,50,1502,75100
38,order,50,994,49700
39,order,50,4930,246500
40,order,50,3012,150600
41,order,50,1474,73700
42,post,1000,3403,1000
43,post,1000,244,1000
44,order,50,3039,151950
45,post,1000,2746,1000
46,post,1000,2024,1000
47,post,1000,3497,1000
48,post,1000,1885,1000
49,post,1000,4501,1000
50,order,50,2887,144350
51,order,50,4879,243950
52,post,1000,1200,1000
53,post,1000,4154,1000
54,order,50,191,9550
55,order,50,1182,59100
56,order,50,439,21950
57,post,1000,1740,1000
58,post,1000,2230,1000
59,order,50,4732,236600
60,post,1000,2235,1000
61,order,50,1674,83700
62,post,1000,3565,1000
63,order,50,3515,175750
64,order,50,1735,86750
65,order,50,2163,108150
66,post,1000,4764,1000
67,order,50,941,47050
68,order,50,2303,115150
69,post,1000,1416,1000
70,order,50,632,31600
71,post,1000,4136,1000
72,order,50,1321,66050
73,post,1000,3989,1000
74,post,1000,3863,1000
75,post,1000,4775,1000
76,order,50,4249,212450
77,post,1000,4983,1000
78,order,50,913,45650
79,post,1000,2687,1000
80,order,50,632,31600
81,post,1000,974,1000
82,order,50,3141,157050
83,post,1000,588,1000
84,post,1000,3459,1000
85,order,50,125,6250
86,post,1000,3313,1000
87,order,50,3188,159400
88,order,50,3862,193100
89,post,1000,3933,1000
90,post,1000,4015,1000
91,post,1000,1737,1000
92,post,1000,4148,1000
93,order,50,413,20650
94,post,1000,86,1000
95,post,1000,1810,1000
96,post,1000,741,1000
97,post,1000,3946,1000
98,post,1000,2299,1000
99,post,1000,3170,1000
100,order,50,390,19500
101,order,50,4131,206550
102,order,50,4290,214500
103,order,50,226,11300
104,order,50,2352,117600
105,order,50,4454,222700
106,order,50,105,5250
107,order,50,1084,54200
108,post,1000,256,1000
109,post,1000,3156,1000
